timestamp_utc,vertical,doc_id,offset,cohesion,tp,fp,fn,tn,na,recall,precision,f1,passes_gates
2026-06-22T16:38:05.1174821+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:38:05.7427564+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:38:06.2253144+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:38:06.9592164+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:38:07.6325433+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:46:50.9361319+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:51.5334973+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T18:46:51.9214413+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:52.2303255+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:52.8311355+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:53.1104956+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T18:46:53.6763443+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T18:46:54.1415620+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T18:46:54.6334525+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T18:46:55.3003704+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T18:46:55.7736111+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:46:56.3100817+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:56.6277862+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:46:56.9402168+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T18:46:57.3195722+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:46:57.7583000+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:46:58.2049821+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:48:12.8450437+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:13.4040355+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T18:48:13.6551668+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:13.8556636+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:14.4118733+00:00,privacy-gdpr,novacrm-compliant,0.00,0,6,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:14.6644427+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T18:48:15.1758851+00:00,privacy-law25,novacrm-compliant,0.00,0,5,0,0,1,0,1.000,1.000,1.000,1
2026-06-22T18:48:15.5548295+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T18:48:16.0039152+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T18:48:16.6038656+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T18:48:17.4056746+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T18:48:17.8355313+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:18.2328792+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T18:48:18.6013820+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T18:48:18.8476011+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
